CMDLINE /home/divar/miniconda3/envs/paralelo/bin/python3.8 1test_qqcorr.py
MEM 191.250000 1692735690.0373
MEM 191.250000 1692735690.1376
MEM 191.250000 1692735690.2379
MEM 191.250000 1692735690.3382
MEM 191.250000 1692735690.4384
MEM 191.250000 1692735690.5387
MEM 191.250000 1692735690.6390
MEM 191.250000 1692735690.7393
MEM 191.250000 1692735690.8396
MEM 191.250000 1692735690.9399
MEM 191.250000 1692735691.0402
MEM 191.250000 1692735691.1404
MEM 191.250000 1692735691.2408
MEM 191.250000 1692735691.3411
MEM 191.250000 1692735691.4414
MEM 191.250000 1692735691.5417
MEM 191.250000 1692735691.6420
MEM 191.250000 1692735691.7422
MEM 191.250000 1692735691.8425
MEM 191.250000 1692735691.9428
MEM 191.250000 1692735692.0431
MEM 191.250000 1692735692.1434
MEM 191.250000 1692735692.2436
MEM 191.250000 1692735692.3439
MEM 191.250000 1692735692.4442
MEM 191.250000 1692735692.5445
MEM 191.250000 1692735692.6448
MEM 191.250000 1692735692.7450
MEM 191.250000 1692735692.8454
MEM 191.250000 1692735692.9457
MEM 191.250000 1692735693.0459
MEM 191.250000 1692735693.1462
MEM 191.250000 1692735693.2465
MEM 191.250000 1692735693.3468
MEM 191.250000 1692735693.4472
MEM 191.250000 1692735693.5476
MEM 191.250000 1692735693.6479
MEM 191.250000 1692735693.7482
MEM 191.250000 1692735693.8485
MEM 191.250000 1692735693.9488
MEM 191.250000 1692735694.0492
MEM 191.250000 1692735694.1495
MEM 191.250000 1692735694.2498
MEM 191.250000 1692735694.3501
MEM 191.250000 1692735694.4504
MEM 191.250000 1692735694.5507
MEM 191.250000 1692735694.6510
MEM 191.250000 1692735694.7513
MEM 191.250000 1692735694.8516
MEM 191.250000 1692735694.9519
MEM 191.250000 1692735695.0522
MEM 191.250000 1692735695.1525
MEM 191.250000 1692735695.2528
MEM 191.250000 1692735695.3531
MEM 191.250000 1692735695.4533
MEM 191.250000 1692735695.5536
MEM 191.250000 1692735695.6539
MEM 191.250000 1692735695.7542
MEM 191.250000 1692735695.8545
MEM 191.250000 1692735695.9548
MEM 191.250000 1692735696.0551
MEM 191.250000 1692735696.1554
MEM 191.250000 1692735696.2557
MEM 191.250000 1692735696.3561
MEM 191.250000 1692735696.4564
MEM 191.250000 1692735696.5567
MEM 191.250000 1692735696.6570
MEM 191.250000 1692735696.7573
MEM 191.250000 1692735696.8576
MEM 191.250000 1692735696.9579
MEM 191.250000 1692735697.0582
MEM 191.250000 1692735697.1584
MEM 191.250000 1692735697.2587
MEM 191.250000 1692735697.3591
MEM 191.250000 1692735697.4594
MEM 191.250000 1692735697.5597
MEM 191.250000 1692735697.6600
MEM 191.250000 1692735697.7602
MEM 191.250000 1692735697.8605
MEM 191.250000 1692735697.9608
MEM 191.250000 1692735698.0611
MEM 191.250000 1692735698.1613
MEM 191.250000 1692735698.2616
