CMDLINE python run_correccion.py
MEM 0.613281 1691516164.0960
MEM 15.855469 1691516164.1963
MEM 29.972656 1691516164.2966
MEM 49.601562 1691516164.3968
MEM 81.660156 1691516164.4972
MEM 87.824219 1691516164.5976
MEM 93.781250 1691516164.6979
MEM 106.574219 1691516164.7982
MEM 113.484375 1691516164.8985
MEM 117.558594 1691516164.9988
MEM 122.320312 1691516165.0991
MEM 127.617188 1691516165.1994
MEM 132.535156 1691516165.2997
MEM 144.292969 1691516165.4000
MEM 146.898438 1691516165.5003
MEM 159.398438 1691516165.6006
MEM 164.582031 1691516165.7009
MEM 168.765625 1691516165.8011
MEM 172.804688 1691516165.9015
MEM 176.187500 1691516166.0018
MEM 178.902344 1691516166.1020
MEM 182.562500 1691516166.2023
MEM 184.261719 1691516166.3026
MEM 186.988281 1691516166.4028
MEM 189.468750 1691516166.5031
MEM 196.402344 1691516166.6035
MEM 196.402344 1691516166.7039
MEM 196.402344 1691516166.8042
MEM 196.402344 1691516166.9045
MEM 196.402344 1691516167.0049
MEM 196.421875 1691516167.1053
MEM 196.421875 1691516167.2056
MEM 196.457031 1691516167.3060
MEM 196.457031 1691516167.4064
MEM 196.457031 1691516167.5067
MEM 196.488281 1691516167.6070
MEM 196.488281 1691516167.7073
MEM 200.207031 1691516167.8077
MEM 203.785156 1691516167.9080
MEM 206.312500 1691516168.0084
MEM 209.523438 1691516168.1087
MEM 209.960938 1691516168.2090
MEM 210.378906 1691516168.3094
MEM 210.703125 1691516168.4097
MEM 214.691406 1691516168.5101
MEM 212.214844 1691516168.6105
MEM 212.636719 1691516168.7109
MEM 213.074219 1691516168.8113
MEM 217.710938 1691516168.9117
MEM 213.750000 1691516169.0121
MEM 215.453125 1691516169.1126
MEM 214.527344 1691516169.2130
MEM 214.949219 1691516169.3134
MEM 215.324219 1691516169.4138
MEM 215.714844 1691516169.5143
MEM 216.023438 1691516169.6147
MEM 216.496094 1691516169.7151
MEM 217.562500 1691516169.8155
MEM 224.746094 1691516169.9159
MEM 217.578125 1691516170.0163
MEM 217.992188 1691516170.1167
MEM 218.511719 1691516170.2171
