CMDLINE /home/divar/miniconda3/envs/paralelo/bin/python3.8 1test_qqcorr.py
MEM 0.636719 1692735612.0533
MEM 15.902344 1692735612.1537
MEM 30.335938 1692735612.2540
MEM 49.746094 1692735612.3543
MEM 81.617188 1692735612.4546
MEM 87.773438 1692735612.5550
MEM 94.285156 1692735612.6554
MEM 101.375000 1692735612.7557
MEM 108.062500 1692735612.8560
MEM 143.773438 1692735612.9563
MEM 148.687500 1692735613.0566
MEM 159.699219 1692735613.1570
MEM 173.308594 1692735613.2573
MEM 183.109375 1692735613.3577
MEM 185.308594 1692735613.4580
MEM 189.953125 1692735613.5583
MEM 190.226562 1692735613.6585
MEM 191.210938 1692735613.7588
MEM 191.210938 1692735613.8591
MEM 191.398438 1692735613.9595
MEM 191.414062 1692735614.0599
