CMDLINE python run_correccion.py
MEM 212.320312 1691516084.2382
MEM 212.421875 1691516084.3386
MEM 214.324219 1691516084.4390
MEM 212.730469 1691516084.5394
MEM 212.835938 1691516084.6397
MEM 212.937500 1691516084.7401
MEM 212.937500 1691516084.8405
MEM 213.234375 1691516084.9408
MEM 217.312500 1691516085.0413
MEM 213.410156 1691516085.1416
MEM 213.500000 1691516085.2420
MEM 217.136719 1691516085.3424
MEM 213.808594 1691516085.4428
MEM 213.921875 1691516085.5432
MEM 214.019531 1691516085.6436
MEM 214.019531 1691516085.7439
MEM 214.320312 1691516085.8443
MEM 214.343750 1691516085.9447
MEM 214.492188 1691516086.0451
MEM 214.585938 1691516086.1454
MEM 214.687500 1691516086.2458
MEM 214.890625 1691516086.3462
MEM 214.988281 1691516086.4466
MEM 215.085938 1691516086.5470
MEM 215.085938 1691516086.6473
MEM 215.402344 1691516086.7477
MEM 215.421875 1691516086.8480
MEM 215.574219 1691516086.9484
MEM 215.656250 1691516087.0489
MEM 215.761719 1691516087.1492
MEM 215.960938 1691516087.2496
MEM 216.062500 1691516087.3500
MEM 216.171875 1691516087.4504
MEM 216.171875 1691516087.5507
MEM 216.457031 1691516087.6511
MEM 216.472656 1691516087.7515
MEM 216.621094 1691516087.8519
MEM 216.945312 1691516087.9523
MEM 217.050781 1691516088.0527
MEM 217.246094 1691516088.1530
MEM 217.359375 1691516088.2534
MEM 217.468750 1691516088.3538
MEM 217.468750 1691516088.4541
MEM 217.765625 1691516088.5546
MEM 217.785156 1691516088.6549
MEM 217.929688 1691516088.7553
MEM 218.023438 1691516088.8557
MEM 218.125000 1691516088.9561
MEM 218.335938 1691516089.0565
MEM 218.437500 1691516089.1568
MEM 218.539062 1691516089.2572
MEM 218.539062 1691516089.3575
MEM 218.835938 1691516089.4578
MEM 218.855469 1691516089.5582
MEM 218.992188 1691516089.6585
MEM 219.078125 1691516089.7589
MEM 219.179688 1691516089.8593
MEM 219.386719 1691516089.9596
MEM 219.496094 1691516090.0600
MEM 219.605469 1691516090.1604
MEM 219.605469 1691516090.2607
MEM 219.902344 1691516090.3611
MEM 219.917969 1691516090.4614
MEM 220.066406 1691516090.5618
MEM 220.164062 1691516090.6621
MEM 220.265625 1691516090.7625
MEM 220.460938 1691516090.8628
MEM 220.558594 1691516090.9632
MEM 220.671875 1691516091.0636
MEM 220.671875 1691516091.1639
MEM 220.968750 1691516091.2642
MEM 220.988281 1691516091.3646
MEM 221.121094 1691516091.4650
MEM 221.222656 1691516091.5654
MEM 221.332031 1691516091.6657
MEM 221.531250 1691516091.7661
MEM 221.640625 1691516091.8665
MEM 221.726562 1691516091.9669
MEM 221.726562 1691516092.0672
MEM 221.929688 1691516092.1676
MEM 221.941406 1691516092.2679
MEM 229.539062 1691516092.3683
MEM 221.960938 1691516092.4686
MEM 221.976562 1691516092.5690
MEM 222.683594 1691516092.6693
MEM 222.070312 1691516092.7697
MEM 222.109375 1691516092.8700
MEM 222.109375 1691516092.9703
MEM 222.312500 1691516093.0707
MEM 222.324219 1691516093.1711
MEM 229.152344 1691516093.2715
MEM 222.355469 1691516093.3719
MEM 222.375000 1691516093.4723
MEM 226.972656 1691516093.5727
MEM 222.464844 1691516093.6730
MEM 222.492188 1691516093.7734
MEM 222.492188 1691516093.8737
MEM 222.687500 1691516093.9741
MEM 222.691406 1691516094.0745
MEM 222.710938 1691516094.1749
MEM 222.984375 1691516094.2753
MEM 223.003906 1691516094.3756
MEM 223.273438 1691516094.4760
MEM 223.089844 1691516094.5764
MEM 223.121094 1691516094.6767
MEM 223.121094 1691516094.7770
MEM 223.296875 1691516094.8774
MEM 223.308594 1691516094.9777
MEM 224.082031 1691516095.0781
MEM 223.335938 1691516095.1785
MEM 223.355469 1691516095.2788
MEM 224.152344 1691516095.3792
MEM 223.441406 1691516095.4796
MEM 223.484375 1691516095.5800
MEM 223.535156 1691516095.6803
MEM 223.691406 1691516095.7807
MEM 223.707031 1691516095.8811
MEM 223.718750 1691516095.9815
MEM 223.738281 1691516096.0819
MEM 223.765625 1691516096.1823
MEM 223.789062 1691516096.2826
MEM 223.847656 1691516096.3830
MEM 223.878906 1691516096.4834
MEM 223.878906 1691516096.5837
MEM 224.082031 1691516096.6841
MEM 224.085938 1691516096.7845
MEM 224.093750 1691516096.8849
MEM 224.121094 1691516096.9852
MEM 224.156250 1691516097.0856
MEM 224.179688 1691516097.1859
MEM 224.242188 1691516097.2863
MEM 224.292969 1691516097.3866
MEM 224.292969 1691516097.4870
MEM 224.476562 1691516097.5873
MEM 224.488281 1691516097.6877
MEM 224.492188 1691516097.7880
MEM 228.363281 1691516097.8884
MEM 224.535156 1691516097.9888
MEM 224.554688 1691516098.0891
MEM 225.351562 1691516098.1895
MEM 224.664062 1691516098.2899
MEM 224.664062 1691516098.3902
MEM 224.738281 1691516098.4906
MEM 224.871094 1691516098.5909
MEM 224.871094 1691516098.6913
MEM 224.871094 1691516098.7917
MEM 224.921875 1691516098.8921
MEM 224.949219 1691516098.9924
MEM 224.988281 1691516099.0928
MEM 225.054688 1691516099.1932
MEM 225.054688 1691516099.2935
MEM 225.054688 1691516099.3939
MEM 225.261719 1691516099.4943
MEM 225.269531 1691516099.5946
MEM 225.285156 1691516099.6950
MEM 225.332031 1691516099.7954
MEM 225.359375 1691516099.8958
MEM 225.609375 1691516099.9962
MEM 225.679688 1691516100.0966
MEM 225.679688 1691516100.1969
MEM 225.679688 1691516100.2973
MEM 230.773438 1691516100.3977
MEM 225.886719 1691516100.4981
MEM 225.890625 1691516100.5985
MEM 226.679688 1691516100.6988
MEM 225.960938 1691516100.7992
MEM 225.996094 1691516100.8996
MEM 226.027344 1691516101.0000
MEM 226.062500 1691516101.1004
MEM 226.062500 1691516101.2007
MEM 226.273438 1691516101.3011
MEM 226.277344 1691516101.4014
MEM 226.296875 1691516101.5018
MEM 226.316406 1691516101.6022
MEM 226.328125 1691516101.7025
MEM 226.343750 1691516101.8029
MEM 226.410156 1691516101.9033
MEM 226.437500 1691516102.0036
MEM 226.464844 1691516102.1040
MEM 226.628906 1691516102.2044
MEM 226.644531 1691516102.3048
MEM 226.644531 1691516102.4052
MEM 226.675781 1691516102.5057
MEM 226.699219 1691516102.6061
MEM 226.730469 1691516102.7064
MEM 226.789062 1691516102.8068
MEM 226.824219 1691516102.9071
MEM 226.824219 1691516103.0075
MEM 227.015625 1691516103.1078
MEM 227.023438 1691516103.2082
MEM 227.039062 1691516103.3086
MEM 227.054688 1691516103.4090
MEM 227.082031 1691516103.5094
MEM 227.113281 1691516103.6097
MEM 227.167969 1691516103.7101
MEM 227.195312 1691516103.8104
MEM 227.195312 1691516103.9107
MEM 232.089844 1691516104.0111
MEM 227.417969 1691516104.1114
MEM 227.421875 1691516104.2118
MEM 229.230469 1691516104.3121
MEM 227.464844 1691516104.4125
MEM 227.496094 1691516104.5128
MEM 227.515625 1691516104.6132
MEM 227.585938 1691516104.7135
MEM 227.636719 1691516104.8138
MEM 227.636719 1691516104.9141
MEM 227.804688 1691516105.0144
MEM 227.804688 1691516105.1148
MEM 227.816406 1691516105.2151
MEM 227.859375 1691516105.3155
